Station,2019 delta g,x [m],y [m],z [m],eff. depth [m],beta (x-component) [uGal/m],beta (y-component) [uGal/m],beta (z-component) [uGal/m],beta [uGal/m],theta_beta,delta H (using new beta),delta H (beta=41.93)
15.0,-3.739906102,2606182.9790000003,1116595.845,2258.531042583806,2.98,-1.8477796126615615,2.2388406946453614,-29.799869245982407,29.94092357010077,5.563766349278897,-0.12550075542711353,-0.08919404011447651
15.0,-3.739906102,2606182.9790000003,1116595.845,2258.531042583806,4.23,-1.7658327111072079,1.7024665716734908,-27.585611589663383,27.69444934218864,5.0812829338058645,-0.13557452187869498,-0.08919404011447651
15.0,-3.739906102,2606182.9790000003,1116595.845,2258.531042583806,5.48,-1.804170118252903,1.5604307058328426,-25.918013018401055,26.0275502616998,5.258408430612392,-0.14429756244603983,-0.08919404011447651
15.0,-3.739906102,2606182.9790000003,1116595.845,2258.531042583806,6.73,-1.8988380592832668,1.6411703998606981,-24.67732541213466,24.804624886362397,5.807249894360095,-0.1515523274722861,-0.08919404011447651
15.0,-3.739906102,2606182.9790000003,1116595.845,2258.531042583806,7.98,-2.011704850110845,1.8075384549073041,-23.71785363314226,23.871546506941844,6.505152835383647,-0.1576831596925796,-0.08919404011447651
15.0,-3.739906102,2606182.9790000003,1116595.845,2258.531042583806,9.23,-2.114744433250165,1.997423038013359,-22.988018993179058,23.171337036120946,7.211928775879255,-0.16268936018843966,-0.08919404011447651
15.0,-3.739906102,2606182.9790000003,1116595.845,2258.531042583806,10.48,-2.216725499695531,2.1861755253451602,-22.466065323579862,22.68076997132099,7.889920945978731,-0.16646911900833303,-0.08919404011447651
1.0,-65.49164659,2606274.0,1116301.41,2352.0995771274384,2.98,-2.1609707124295223,10.65146299381137,-31.736232803661103,33.54566933147536,18.904396090452988,-2.0636238395139594,-1.561928132363463
1.0,-65.49164659,2606274.0,1116301.41,2352.0995771274384,4.23,-2.349083378983319,10.52140480484299,-31.497658577707615,33.29145006854803,18.894127544449056,-2.0792544445304117,-1.561928132363463
1.0,-65.49164659,2606274.0,1116301.41,2352.0995771274384,5.48,-2.6394106007101783,10.379147937331197,-31.394358012375942,33.170753914154275,18.835940310653637,-2.0860960610878743,-1.561928132363463
1.0,-65.49164659,2606274.0,1116301.41,2352.0995771274384,6.73,-2.969958886089542,10.274699286953574,-31.431662977975435,33.20149904422115,18.792027755734892,-2.0836201583063176,-1.561928132363463
1.0,-65.49164659,2606274.0,1116301.41,2352.0995771274384,7.98,-3.23894698357368,10.175398051103581,-31.48352703609599,33.24517976629681,18.735707923754806,-2.0801877284877763,-1.561928132363463
1.0,-65.49164659,2606274.0,1116301.41,2352.0995771274384,9.23,-3.461756315418808,10.075664318327378,-31.521761901714896,33.27347654861695,18.674294499314996,-2.077664528848466,-1.561928132363463
1.0,-65.49164659,2606274.0,1116301.41,2352.0995771274384,10.48,-3.673873680990956,9.97074173012965,-31.554745181183655,33.2958703433663,18.6109430254496,-2.0754928050901578,-1.561928132363463
13.0,-19.4801389,2606338.986,1116251.2079999999,2376.9645542214316,2.98,-5.781365732457491,4.027205046868367,-37.156504673064475,37.81862516990032,10.737148252596622,-0.5242726427419196,-0.46458714285714287
13.0,-19.4801389,2606338.986,1116251.2079999999,2376.9645542214316,4.23,-5.702645615130045,4.075698842698616,-35.79790841529447,36.477688180282854,11.078599193040674,-0.5441697507577624,-0.46458714285714287
13.0,-19.4801389,2606338.986,1116251.2079999999,2376.9645542214316,5.48,-5.7508621902114685,4.19455615982383,-34.82234208255279,35.542400389155574,11.55271411252515,-0.559414954164161,-0.46458714285714287
13.0,-19.4801389,2606338.986,1116251.2079999999,2376.9645542214316,6.73,-5.83429967789466,4.363248968811636,-34.028746453908845,34.799893383740866,12.084327767805132,-0.5724612549682193,-0.46458714285714287
13.0,-19.4801389,2606338.986,1116251.2079999999,2376.9645542214316,7.98,-5.907310434951272,4.592126979181567,-33.384793009584754,34.21298512349705,12.632452803732226,-0.583503360179806,-0.46458714285714287
13.0,-19.4801389,2606338.986,1116251.2079999999,2376.9645542214316,9.23,-5.984945900296264,4.828964469780773,-32.87963502573706,33.76697905803173,13.164161655560761,-0.5924682218872445,-0.46458714285714287
13.0,-19.4801389,2606338.986,1116251.2079999999,2376.9645542214316,10.48,-6.0503813753062845,5.050260645476174,-32.438779441371324,33.38243039414346,13.65566135661854,-0.6005200946357337,-0.46458714285714287
2.0,-36.65215031,2606367.732,1116218.491,2393.3351421519783,2.98,-5.976342789401491,11.1338422892531,-35.78629143195274,37.95178219413478,19.448526039447028,-1.0241952670534102,-0.8741271240162176
2.0,-36.65215031,2606367.732,1116218.491,2393.3351421519783,4.23,-6.049602088148058,10.657508867940734,-34.858034256276845,36.94946187574226,19.36979814487467,-1.0514692263061305,-0.8741271240162176
2.0,-36.65215031,2606367.732,1116218.491,2393.3351421519783,5.48,-6.273256112138946,10.263313012630649,-34.08029609656116,36.14077915973871,19.440555455609726,-1.0754645501362985,-0.8741271240162176
2.0,-36.65215031,2606367.732,1116218.491,2393.3351421519783,6.73,-6.509368026736786,9.946804461443092,-33.38239393452078,35.43578722000144,19.600739918121484,-1.0979485288530482,-0.8741271240162176
2.0,-36.65215031,2606367.732,1116218.491,2393.3351421519783,7.98,-6.752557468593474,9.705142571205984,-32.78608644042477,34.852751523704654,19.830053977235696,-1.1179178209207805,-0.8741271240162176
2.0,-36.65215031,2606367.732,1116218.491,2393.3351421519783,9.23,-7.001129669252105,9.51440431114686,-32.337771169522306,34.42776714011583,20.06678716355752,-1.1334160946918912,-0.8741271240162176
2.0,-36.65215031,2606367.732,1116218.491,2393.3351421519783,10.48,-7.2119555197869945,9.343021619404972,-31.95293505530887,34.063094604701455,20.273144985945613,-1.1470667795167184,-0.8741271240162176
3.0,-52.46636382,2606470.526,1116141.793,2447.317091266292,2.98,-12.45664087808042,10.487145093618013,-42.25675617982574,45.28555572167909,21.073847527407388,-1.2416088825352982,-1.2512846129263058
3.0,-52.46636382,2606470.526,1116141.793,2447.317091266292,4.23,-12.273418602993965,10.464638233003656,-43.24095344689871,46.15111604878935,20.455689492937957,-1.2133489120315164,-1.2512846129263058
3.0,-52.46636382,2606470.526,1116141.793,2447.317091266292,5.48,-11.912999831383036,10.336807337579454,-43.559428065042745,46.327021534633566,19.904796546863118,-1.2044777939154172,-1.2512846129263058
3.0,-52.46636382,2606470.526,1116141.793,2447.317091266292,6.73,-11.479446761826955,10.233647658178334,-43.57948234999185,46.21338035940033,19.437384614674382,-1.203923520675087,-1.2512846129263058
3.0,-52.46636382,2606470.526,1116141.793,2447.317091266292,7.98,-11.038291164097815,10.143755061711758,-43.43290957908015,45.94733151206885,19.042644704049444,-1.207986393922614,-1.2512846129263058
3.0,-52.46636382,2606470.526,1116141.793,2447.317091266292,9.23,-10.61096405235147,10.04675301856713,-43.17408272096744,45.57994321116825,18.698854905988977,-1.2152282228921514,-1.2512846129263058
3.0,-52.46636382,2606470.526,1116141.793,2447.317091266292,10.48,-10.217688098583183,9.944842321453455,-42.84158443455028,45.151992156949184,18.40827085548696,-1.224659743855964,-1.2512846129263058
4.0,-102.844802,2606543.829,1116094.813,2463.5507586610565,2.98,-0.36879512247836627,6.706729125238209,-45.551555347008396,46.04411384675843,8.38817336585884,-2.2577670776889147,-2.452773718101598
4.0,-102.844802,2606543.829,1116094.813,2463.5507586610565,4.23,-0.9475108452595556,6.582389585990966,-45.50703814690594,45.990391935355355,8.314147764766613,-2.2599757353575978,-2.452773718101598
4.0,-102.844802,2606543.829,1116094.813,2463.5507586610565,5.48,-1.3841809312035551,6.461072984154921,-45.15766514110173,45.63853790331981,8.324706433445261,-2.2774605746033676,-2.452773718101598
4.0,-102.844802,2606543.829,1116094.813,2463.5507586610565,6.73,-1.6464921277321245,6.337889698527152,-44.58652042099224,45.06481538194668,8.355098984874598,-2.3066344049485097,-2.452773718101598
4.0,-102.844802,2606543.829,1116094.813,2463.5507586610565,7.98,-1.8006679602690256,6.247549461928703,-43.92658034606253,44.40516569366082,8.419599092655304,-2.3412886045252725,-2.452773718101598
4.0,-102.844802,2606543.829,1116094.813,2463.5507586610565,9.23,-1.8906663057235449,6.168271353996228,-43.21777928511381,43.69666619906993,8.490385203378228,-2.379687334731345,-2.452773718101598
4.0,-102.844802,2606543.829,1116094.813,2463.5507586610565,10.48,-1.9442226833600527,6.074306767346403,-42.47510830988545,42.95127507400475,8.539475175729375,-2.4212958151789903,-2.452773718101598
5.0,-95.45499965,2606668.946,1116050.28,2480.1740941172657,2.98,-2.0400298714296166,5.849156133333713,-38.18228771781335,38.681538810061845,9.215385111235419,-2.499981152398759,-2.2765323074171238
5.0,-95.45499965,2606668.946,1116050.28,2480.1740941172657,4.23,-1.990726324709188,5.757897046685137,-37.7008075964266,38.18988430360707,9.179447059325772,-2.5319086177625416,-2.2765323074171238
5.0,-95.45499965,2606668.946,1116050.28,2480.1740941172657,5.48,-1.9137932059607978,5.68746287380095,-37.25227891624487,37.73250750784723,9.150935495367069,-2.562393561602328,-2.2765323074171238
5.0,-95.45499965,2606668.946,1116050.28,2480.1740941172657,6.73,-1.8519411403326196,5.63190244357459,-36.85671624698078,37.33049080351951,9.138018546497952,-2.5898943088240927,-2.2765323074171238
5.0,-95.45499965,2606668.946,1116050.28,2480.1740941172657,7.98,-1.7746767005954442,5.528682948310759,-36.34379938176282,36.80472206166488,9.077247597950231,-2.6264452609183992,-2.2765323074171238
5.0,-95.45499965,2606668.946,1116050.28,2480.1740941172657,9.23,-1.6779080953566095,5.365756319355112,-35.721054458065616,36.160758399835196,8.944171192129494,-2.672233535604568,-2.2765323074171238
5.0,-95.45499965,2606668.946,1116050.28,2480.1740941172657,10.48,-1.5746986704355952,5.173461731476348,-35.07002385831559,35.48451712525544,8.76598204616909,-2.721840168562255,-2.2765323074171238
6.0,-149.2179487,2606748.568,1116013.886,2496.0399721449653,2.98,-3.9812135774274497,5.053814401592538,-37.57976038477717,38.126493310191854,9.714761969854017,-3.970699844069397,-3.558739534939184
6.0,-149.2179487,2606748.568,1116013.886,2496.0399721449653,4.23,-3.6080982888036663,5.037800334105728,-36.72754203593956,37.2466125905389,9.576638456303286,-4.062835148455715,-3.558739534939184
6.0,-149.2179487,2606748.568,1116013.886,2496.0399721449653,5.48,-3.2880884249513906,4.976613889111661,-35.88639575287613,36.37872470859369,9.436970458657596,-4.158064513571019,-3.558739534939184
6.0,-149.2179487,2606748.568,1116013.886,2496.0399721449653,6.73,-3.024269448732935,4.860039058835936,-35.07189442766629,35.53595311930327,9.269661021082566,-4.254630413756326,-3.558739534939184
6.0,-149.2179487,2606748.568,1116013.886,2496.0399721449653,7.98,-2.806714160531015,4.693778241563003,-34.28733778291234,34.720753603564305,9.062504758832716,-4.351984095258782,-3.558739534939184
6.0,-149.2179487,2606748.568,1116013.886,2496.0399721449653,9.23,-2.6123612171860673,4.483730397741536,-33.4970353130971,33.896602251192725,8.80606445055261,-4.454661354512674,-3.558739534939184
6.0,-149.2179487,2606748.568,1116013.886,2496.0399721449653,10.48,-2.4342797844434285,4.281240519889235,-32.73558875742949,33.10398027056015,8.55570698756363,-4.558279058479872,-3.558739534939184
11.0,-96.74862663,2606502.818,1116032.686,2455.866535269167,2.98,-1.1600398623821253,6.840336657001753,-36.29772264091691,36.95484497302579,10.821082374177251,-2.665418643122787,-2.307384369902218
11.0,-96.74862663,2606502.818,1116032.686,2455.866535269167,4.23,-1.3183737619278264,6.722991910003829,-35.754255649067765,36.40471846638854,10.847228939212686,-2.7059331784053673,-2.307384369902218
11.0,-96.74862663,2606502.818,1116032.686,2455.866535269167,5.48,-1.4391380204125443,6.626535191027652,-35.21153039914402,35.85852701840342,10.900529210336584,-2.7476404897286697,-2.307384369902218
11.0,-96.74862663,2606502.818,1116032.686,2455.866535269167,6.73,-1.5028674739032148,6.55194128960826,-34.74642774069668,35.390687843641096,10.949260542980808,-2.7844193754825444,-2.307384369902218
11.0,-96.74862663,2606502.818,1116032.686,2455.866535269167,7.98,-1.5043942888325783,6.495729405933749,-34.34519650971518,34.98642916878395,10.986546330027672,-2.8169478256626905,-2.307384369902218
11.0,-96.74862663,2606502.818,1116032.686,2455.866535269167,9.23,-1.4691146283296348,6.439912858460557,-33.969873469481094,34.60611331756708,11.003713812369805,-2.848071445332878,-2.307384369902218
11.0,-96.74862663,2606502.818,1116032.686,2455.866535269167,10.48,-1.4228993294473629,6.36336685722345,-33.5890690468527,34.21611666591622,10.98596005928948,-2.880360467717856,-2.307384369902218
10.0,-126.19096979999999,2606577.33,1115995.563,2469.6987606078683,2.98,-3.98044058624112,4.71334695693944,-35.56926147831827,36.10030344623244,9.839668042293283,-3.54775344090069,-3.009562838063439
10.0,-126.19096979999999,2606577.33,1115995.563,2469.6987606078683,4.23,-3.5256406624353915,4.667016619203501,-34.626507303337576,35.117035669780414,9.58776987937392,-3.644345896469804,-3.009562838063439
10.0,-126.19096979999999,2606577.33,1115995.563,2469.6987606078683,5.48,-3.1909732629990146,4.615003466601302,-33.886606050673635,34.34796408807177,9.401420835243899,-3.7239188135659114,-3.009562838063439
10.0,-126.19096979999999,2606577.33,1115995.563,2469.6987606078683,6.73,-2.9287378577533816,4.567731355204126,-33.2867331945714,33.72607717982235,9.25826579778785,-3.7910289682791696,-3.009562838063439
10.0,-126.19096979999999,2606577.33,1115995.563,2469.6987606078683,7.98,-2.6966334825633402,4.521541737078729,-32.76252200320988,33.182812114560726,9.128829262838249,-3.851686686013871,-3.009562838063439
10.0,-126.19096979999999,2606577.33,1115995.563,2469.6987606078683,9.23,-2.4777754974546715,4.466015391700534,-32.25712743571241,32.65894877822131,8.997033097097185,-3.912033706395438,-3.009562838063439
10.0,-126.19096979999999,2606577.33,1115995.563,2469.6987606078683,10.48,-2.2870738266990007,4.376679060264873,-31.752793079087198,32.13449695589866,8.839872332477963,-3.9741691222467925,-3.009562838063439
9.0,-94.58161448,2606631.399,1115977.012,2478.8455198948413,2.98,-2.982074591556799,4.704238838973591,-34.34581077083431,34.79450171262227,9.211360512084037,-2.753803516565012,-2.2557027064154545
9.0,-94.58161448,2606631.399,1115977.012,2478.8455198948413,4.23,-2.750432847073662,4.612414864961417,-33.175349878525004,33.60718808968296,9.194925551108158,-2.8509605724226095,-2.2557027064154545
9.0,-94.58161448,2606631.399,1115977.012,2478.8455198948413,5.48,-2.559732692958354,4.562777370258957,-32.303299948310546,32.72421666503978,9.199573642109856,-2.927924225430306,-2.2557027064154545
9.0,-94.58161448,2606631.399,1115977.012,2478.8455198948413,6.73,-2.411497648664155,4.544172368588609,-31.64991734994352,32.06527859980657,9.232153877228477,-2.9883684508316346,-2.2557027064154545
9.0,-94.58161448,2606631.399,1115977.012,2478.8455198948413,7.98,-2.2801964194950086,4.511094753287574,-31.082454988679793,31.490764990833775,9.236584542396923,-3.0429261303345103,-2.2557027064154545
9.0,-94.58161448,2606631.399,1115977.012,2478.8455198948413,9.23,-2.1491288536763506,4.446899276739355,-30.503792538115473,30.901052202401754,9.19717820917224,-3.10065098829325,-2.2557027064154545
9.0,-94.58161448,2606631.399,1115977.012,2478.8455198948413,10.48,-2.0201879571772947,4.3433804506934655,-29.935031622296233,30.31587424683092,9.09140612343873,-3.1595628718011324,-2.2557027064154545
8.0,-124.55054950000002,2606750.906,1116107.658,2489.709849459959,2.98,0.2053090811683435,5.535821146148919,-36.265933704889164,36.68658358403486,8.68480805238605,-3.434367649638339,-2.970440007154782
8.0,-124.55054950000002,2606750.906,1116107.658,2489.709849459959,4.23,0.34568570936574955,5.425932750733314,-35.88348929326314,36.293044081268114,8.615712313880758,-3.470970966120161,-2.970440007154782
8.0,-124.55054950000002,2606750.906,1116107.658,2489.709849459959,5.48,0.45065403116779473,5.282149338954858,-35.503674015464895,35.8972848456708,8.492547472743803,-3.5081031176026336,-2.970440007154782
8.0,-124.55054950000002,2606750.906,1116107.658,2489.709849459959,6.73,0.5098148146362622,5.088191412521674,-35.05549816233068,35.42650920433526,8.299398478312794,-3.552953346241057,-2.970440007154782
8.0,-124.55054950000002,2606750.906,1116107.658,2489.709849459959,7.98,0.5721819091484246,4.8408262476908455,-34.537081672297774,34.87937788058233,8.033598449877754,-3.6062847081808345,-2.970440007154782
8.0,-124.55054950000002,2606750.906,1116107.658,2489.709849459959,9.23,0.6568899407834751,4.572026435381706,-33.99338009907728,34.305754920719565,7.737884537113015,-3.663964840712643,-2.970440007154782
8.0,-124.55054950000002,2606750.906,1116107.658,2489.709849459959,10.48,0.8048936628572183,4.372535772340748,-33.50793160235147,33.80160355895518,7.558143823397691,-3.717046786954152,-2.970440007154782
7.0,-87.41024563,2606852.019,1116126.0929999999,2506.480602586185,2.98,-0.4043468640939573,6.632674523174258,-36.364444453446936,36.96658880833739,10.355582528986561,-2.403728338044623,-2.084670775816838
7.0,-87.41024563,2606852.019,1116126.0929999999,2506.480602586185,4.23,-0.21009002890382725,6.139749165034557,-35.37547946483783,35.90494680398441,9.851791486774989,-2.4709275168095792,-2.084670775816838
7.0,-87.41024563,2606852.019,1116126.0929999999,2506.480602586185,5.48,-0.09267868805052284,5.597478785773872,-34.43206104280346,34.884196790979026,9.234808284976786,-2.538629491895297,-2.084670775816838
7.0,-87.41024563,2606852.019,1116126.0929999999,2506.480602586185,6.73,-0.016194634093890103,5.07012192511885,-33.570458917560885,33.95117244716871,8.588475213270112,-2.6037846502084974,-2.084670775816838
7.0,-87.41024563,2606852.019,1116126.0929999999,2506.480602586185,7.98,0.11697344114225658,4.662642705442245,-32.82213445653385,33.15186917908752,8.087728882204765,-2.663149337400858,-2.084670775816838
7.0,-87.41024563,2606852.019,1116126.0929999999,2506.480602586185,9.23,0.33465712188325897,4.414411630375406,-32.23694384791699,32.539507895562494,7.81948038593977,-2.711492939354674,-2.084670775816838
7.0,-87.41024563,2606852.019,1116126.0929999999,2506.480602586185,10.48,0.5772352064299405,4.247008785806856,-31.757722115606747,32.0456424195609,7.686258547710016,-2.7524091719111006,-2.084670775816838
